Title,Body,Post date,Updated date
"איקו""ם - ידיעון 18, 2011","Please find below the ICOM e-newsletter #18 August - September 2011: http://archives.icom.museum/e-newsletter/18_sept2011_en.html 
In this issue:
Headline ICOM-CC holds its 16th Triennial Conference
Decoding Editorial Meeting for the Emergency Red List of Egyptian Cultural Objects at Risk
Highlight Training seminars in Mediation at ICOM  35 years of International Museum Day 
Museum News  New strategic partnerships in Singapore’s heritage sector
Participate in Where will the ICOM General Conference be held in 2016?
Access the e-newsletter archives at: http://archives.icom.museum/e-newsletter/e-newsletter.html To unsubscribe, please click here.  ICOM. UNESCO House. 1, rue Miollis. 75732 Paris Cedex 15. France. Tel. +33 (0)1 47 34 05 00. Fax +33 (0)1 43 06 78 62. E-mail: secretariat@icom.museum © ICOM",13/09/2011 - 12:23,20/09/2011 - 09:06
אסטרטגיות של שיתופי פעולה,"כינוס משותף לשלושה ארגוני משנה של איקו""ם:
COMCOL - הוועדה לאוספים; CAMOC - הוועדה למוזואני עיר; ICOM-EUROPE - אירופה-הוועדה האזורית של ICOM. הכינוס יתקיים בסוף אוקטובר בברלין, גרמניה.
 
>Joint conference of ICOM committees >COMCOL, CAMOC, ICOM-Europe >>“Participative Strategies” >31 October to 1 November 2011 >Venue: Museen Dahlem (Dahlem Museums), Lansstraße 8, 14195 Berlin/Germany > >(Preliminary schedule) >>The International Committee for Collecting (COMCOL) was founded in 2010 >and is the newest ICOM international committee. It has the pleasure >inviting you to participate in its first international conference which >is dedicated to the theme “Participative Strategies”. The first two days >of the conference will be organized jointly with the international >committee on city museums (CAMOC) and the ICOM regional committee for >Europe. On the last two days each committee will organize its own >programme with an excursion. >> >Monday 31 October 2011: >>12:00 Registration and coffee >>Keynote speeches >>Chair: Jack Lohman, Museum of London, United Kingdom >>14:00-14:30 Words of welcome by Berlin hosts, the President of ICOM, >the Presidents of the International Committees >>14:30-14:50 Renée Kistemaker, Amsterdam Museum, Netherlands >“Collecting stories and objects of European entrepreneurs. Some >historical and ethnographical approaches used in the project >Entrepreneurial Cultures in European Cities (2008-2010)” >>14:50-15:10 Discussion >>15:10-15:30 Frank Eckardt, Bauhaus University, Weimar, Germany > “Urban futures: experience and aesthetics in the emerging media city” >>15:30-15:50 Discussion >>16:00 – 16:30 Coffee >>16:30-16:50 Chrischené Julius, District Six Museum, Cape Town, South >Africa >“Participative activities of a community-based museum” >>17:00-17:20 Discussion >>18:00-21:00 Reception at Dahlem Museums >Words of welcome, visit of exhibitions > >>Tuesday 1 November 2011: >>Panel I: Redefining Curatorship in Times of Change for Museums and >Societies: Towards Participative Strategies >Chair: Suay Aksoy, The History Foundation of Turkey, Istanbul >>09:30-09:45 Kylea Little, Discovery Museum, United Kingdom >“Sharing curatorial responsibility. Are there are any sacred museum >functions that no one but curators can do?” >>09:45-10:00 Angela Jannelli, Historical Museum Frankfurt, Germany >“The ‘Stadtlabor’(City Laboratory) as means and medium for documenting >present-day Frankfurt” >>10:00-10:15 Zelda Baveystock, National Museums Liverpool, United >Kingdom >“The secrets of our success: synthesising collections and audience >development at the Museum of Liverpool” >>10:15-10:45 Discussion >>10:45-11:15 Coffee >>Panel II: Recollecting Communities I – the Cultural Self >Chair: Elisabeth Tietmeyer, Museum of European Cultures - National >Museums in Berlin >>11:15-11:30 Stefan Krankenhagen, Foundation University Hildesheim, >Germany >“Recollecting Europe – together? Collection strategies and aporia of >today” >>11:30-11:45 Thomas Walle, Norwegian Museum of Cultural History, Oslo, >Norway >“Participation and ‘othering’ in documenting the present” >>11:45-12:05 Discussion >>12:05-14:00 Lunch >>Panel III: Recollecting Communities II: in Labour, Social and Urban >Contexts >Chair: Damodar Frlan, Ethnographical Museum Zagreb, Croatia >>14:00-14:15 Helen Watkins, Glasgow Museums Resource Centre, United >Kingdom >“Red road flats legacy project” >>14:15-14:30 Otto Hochreiter, Graz City Museum, Austria >“Country of cities. An exhibition for the centennial of the Austrian >association of cities and towns” >>14:30-14:45 Tanja Roženbergar and Manja Vadla, Museum of recent >history Celje, Slovenia >“Don’t throw pots away” >>14:45-15:15 Discussion >>15:15-15:45 Coffee >>Panel IV: Recollecting Communities II – the Social Self >Chair: Léontine Meijer-van Mensch, Reinwardt Akademie Amsterdam, >Netherlands >>15:45-16:00 Tena Mimica and Katharina Dankl, Vienna, Austria >“Doing kinship with pictures and objects – documenting contemporary >practices of family” >>16:00-16:15 Eduardo Cassina, Reinwardt Academy, Amsterdam, >Netherlands >“Who is the curator? LGBT collecting and identity forming over the >rainbow (flag)” >>16:15-16:30 Jette Sandahl, Museum of Copenhagen, Denmark >“Collecting temporary objects of love – and looking for new partners” >>16:30-17:00 Discussion >>17:00-17:15 Final conclusion by Peter van Mensch, MMC Mensch >Museological Consulting, Amsterdam, Netherlands / Berlin, Germany >>17:30 Bus transfer to German Historical Museum >>18:30-21:30 Reception at the German Historical Museum, (Unter den >Linden 2, 10117 Berlin) >Words of welcome by the hosts, a representative of ICOM-Germany; visit of >the exhibition >> >End of the joint meeting! > >>COMCOL Annual Conference >>“Participative Strategies in Collecting the Present” >>2 to 3 November 2011 >Venue: Museen Dahlem (Dahlem Museums), Takustraße 40, 14195 Berlin/Germany >>>(Preliminary schedule) > >In their collecting policies, city museums, history museums and >ethnographic museums all over the world show a remarkable tendency not >only to focus on the present, but also to involve the source communities. >Such participative strategies challenge the theory and ethics that >underpin traditional practices. Some of the values at stake are >institutional autonomy and professional authority. Mirroring the >contemporary in collections and exhibitions may require a detached >position, but how does reflexivity based on professional expertise relate >to the hands-on perspective of communities and individual citizens? In >other words, what is the role of the pro-fessional curator? Will his/her >responsibility move in the direction of facilitator, helping communities >to discuss the complexity of their identity? >The lectures given by international colleagues will point to these >questions. > >Wednesday 2 November 2011: >>9:15 Begin of the meeting >>9:30 – 11:00 Session 1: The potential of collaborative collecting >Chair: Susanna Pettersson, Alvar Aalto Foundation / Alvar Aalto Museum, >Helsinki, Finland >>-Pina Cardia & Arjen Kok, Cultural Heritage Agency of the Netherlands, >Amsterdam >“Incorporating lay stakeholders in expert cultural value assessment” >-Jonas Koch & Dennis Herrmann, University of Oldenburg, Germany >“Theoretical and practical reasons for on- and offline participation in >museums” >-Anna Fredholm, Army Museum, Stockholm, Sweden >”Afghanistan through the eyes and voice of a soldier” >>11:00 – 11:30 Coffee >>11:30 – 13:00 Session 2: Pitfalls and limitations of collaborative >collecting >Chair: Peter van Mensch, MMC Mensch Museological Consulting, Amsterdam, >Netherlands / Berlin, Germany >>-Paula Assunção dos Santos, Reinwardt Academy and advisor of the Museu da >Mare, Rio de Janeiro, Brasil >“Participative collecting at the Museu da Maré: an organic relationship” >-Markus Walz, HTWK Leipzig, Germany >“Selection of cultural assets between research and plebiscite – three >museological points dealing with ‘collecting 2.0’“ >-Viola König, Ethnological Museum – National Museums in Berlin, Germany >“One History – Many Perspectives: Exhibiting Cultures from Africa, Asia, >America and Oceania in the future Humboldt Forum – examples from North >America” >>13:00 – 14:00 Lunch >>14:00 – 15:30 Session 3: Case studies >Chair: Minna Sarantola-Weiss, Helsinki City Museum, Finland >>-Zoltán Fejős, Museum of Ethnography, Budapest, Hungary >“Sharing objects, co-curating knowledge and reframing the museum space” >-Christine Fredriksen, Bohusläns Museum, Uddevalla, Sweden >“Participative strategies and the maritime cultural heritage” >-Aleksandra Janus & Dorota Kawecka, Jagiellonian University, Warsaw, >Poland >“What to take and how to share? Challenges regarding establishing a >Theatre Museum in 2011“ >>15:30 – 16:00 Coffee >>16:00 – 17:30 Session 4: Collecting projects >Chair: Judith Schühle, Museum of European Cultures – National Museums in >Berlin, Germany >>-Aegli Dimoglou, Direction of Cultural Heritage, Volos, Greece >“Community and cities museums: roles and synergies” >-Annemarie De Wildt, Amsterdam Museum, Netherlands >“Behind the counter – the neighbourhood shop of the Amsterdam Museum” >-Elisabeth Tietmeyer, Museum of European Cultures – National Museums in >Berlin, Germany >“The ‘Doner-Connection’ – collecting the present” >>17:30 Final conclusion and discussion about working groups >>18:30 Meeting of working groups (optional) or (organised) leisure time … >> >Thursday 3 November 2011: >>Excursion to the city of Eisenhüttenstadt/Brandenburg county (meeting >point: railway station “Bahnhof Zoologischer Garten”, departure of the >train: 9:42 h) >- guided city tour >- visit of the documentation centre of the GDR >>For further information of the city: >http://en.wikipedia.org/wiki/Eisenh%C3%BCttenstadt >> >For further information concerning registration and fees see >http://www.comcol-icom.org/annual-conference-2011/ >",02/10/2011 - 12:01,20/11/2011 - 15:58
"הוועידה השנתית של CECA הוועדה המקצועית מטעם איקו""ם לחינוך ופעולות תרבות, ירבאן-ארמניה, אוקטובר 2012","CALL FOR PAPERS
ICOM/CECA Annual Conference 2012, Yerevan (Armenia), ICOM International Committee of Education and Cultural Action
 
Date: 20-25 October, 2012
Overall Theme: MUSEUM AND WRITTEN COMMUNICATION. Tradition and Innovation
Venue:  Yerevan, Armenia /‘‘MATENADARAN’’ Museum Institute of Ancient Manuscripts after Mesrob Mashtots Web page: www.ceca12.icom-armenia.org/en
e-mail: ceca12@icom-armenia.org
Facebook
 
Call for Contributions
 
We are pleased to announce the Call for Papers for the upcoming conference on “Museum and Written Communication. Tradition and Innovation”. This International Meeting is intended to become a special platform for discussing theoretical and practical issues on different types of texts in the museums on international level. A text is a basic source of information transferred to the user through a museum exposition, education programme, book, new technologies, and Internet/social media etc.
Museum specialists, engaged in the theoretical and practical issues about writing texts for museum exhibition design, display label, annotation, flyer, catalog, album, book, educational programme, interpretation, Internet and social media, are invited to contribute. General areas of interest include, but are not limited to, the following topics: museum exhibition seen as a ""text"", all museum written communication from labels to new technologies, the place of books and written sources in the museum culture.
The programme of the conference will be accompanied with discussions, workshops and study trips to the local museums and cultural, historical sites.
To encourage the participation in the Discussion Sessions ICOM/CECA offers a special award to the top five programs submitted to the CECA jury following the CECA tool on Best Practice before March 15th... for details click here.
Two pre conference workshops are organized on the following themes; Writing text labels in museums and Writing text for digital media. The number of participants in each group is limited. To participate, register on the conference web page.
 
Submission of Contributions
 
The Registration of Abstracts for the ICOM/CECA Annual Meeting in Yerevan from 20-25th of October 2012 is open from  15th of January to 15th of April 2012 at 24:00 (Yerevan  time). Authors will be notified of acceptance by May 15th, 2012. Please fill in the on-line form and submit before the deadline.  Link to submission of abstracts:  http://ceca12.icom-armenia.org/en/call-for-abstracts/
The selected papers will be published in MUSEUM Theoretical Methodical Journal volume 4 of Armenian Association of Museum Workers and Friends NGO.
 How to propose a contribution
 
 
Note: Please distribute this information to those who can be interested in this information.
 
For any additional information please contact the CECA Annual Conference 2012 Organizing Committee
 
ICOM National Committee of Armenia
(Museum of Literature and Art after Eghishe Charents) Str. Arami 1, 0010 Yerevan, Armenia
(+374 55) 510840
(+37410) 520611
ceca12@icom-armenia.org, icomarmenia@yahoo.com",13/03/2012 - 10:15,13/03/2012 - 10:15
"משלחת איגוד המוזאונים בשנחאי, סין, נובמבר 2010","דוח כינוס בין-לאומי, הוועידה התלת-שנתית של איקום בשנחאי, סין
13-7 בנובמבר 2010
מאת עידית שרוני – אוצרת מוזאון יהדות בבל, אור-יהודה
 
הכינוס התקיים בשנחאי, סין בתאריכים 13-7 בנובמבר, 2010 בבניין האקספו העולמי. בכינוס השתתפו למעלה מאלפיים עמיתים מכל תחומי המוזאולוגיה מרחבי העולם.
נושאו של הכינוס – ""מוזאונים עבור הרמוניה חברתית"" (Museums for Social Harmony) ומטרתו להבהיר את תפקיד המוזאון כמקדם התפתחות חברתית וכמתווך בקונפליקטים תרבותיים וסביבתיים.
במסגרת הוועידה הכללית של איקום התקיים כינוס של ארגון איקמה (ICME) – הוועידה הבינלאומית של מוזאונים אתנוגרפים, אשר דן בנושא –  ""המוזאון המאתגר ואתגור המוזאון""(The Challenging Museum/Challenging the Museum).
מוזאונים אתנוגרפים שמציגים מורשת תרבותית, הולכים ומתפתחים ברבות השנים והם נותנים תרומה חשובה בבניית הרמוניה חברתית. התפתחות זו ניכרת בסין אשר עושה מאמצים לשמר את קבוצות המיעוט האתני החיות בקרבה. הרצאה מרתקת בנושא זה ניתנה מאת Yong Jirong מסין בנושא – Development and Challenges of Ethnic Cultural and Regional Museums In China
ההרצאה דנה בתפתחות המוזיאונים לאתנוגרפיה בסין בתחילת המאה העשרים, אשר להם תפקיד חשוב בקידום הרמוניה חברתית. סין, אשר מתרחשים בה שינויים עמוקים בחברה ובכלכלה, ניצבת מול אתגרים חסרי תקדים בשימור המורשת התרבותית של חמישים ושש קבוצות אתניות. הממשלה עושה מאמצים בשימור הקבוצות ובונה מוזיאונים אתניים, במיוחד במחוזות עם אוכלוסיית מיעוט אתני.
""מוזיאון יהדות בבל"" עלה בהרצאתה של ד""ר שלי שנהב – Visual Politics & Poetic Ethnography in Ethnic Heritage Centers in Israel בהקשר של מרכזי מורשת בארץ. אציין כי המשך הדיון על מוזיאון יהדות בבל התקיים במפגשים עם עמיתים במהלך הכנס שביקשו לשאול אותי שאלות נוספות על המוזיאון ואופי פעילותיו.
Per Rekdal מנורבגיה דיבר בהרצאתו –The Challenging Museum/Challenging the Museum על התעוזה במוזיאונים להעלות דילמות ופרדוקסים. תעוזה זו לדבריו מאתגרת את המוזיאון. דוגמא למוזיאון שמתמודד עם נושא מאתגר עלתה בהרצאה של Ann Siri מנורבגיה – Minda, the girl at the pharmacy  - An educational programme on sexual assault
המוזיאון יצא עם תוכנית חינוכית שעוסקת בנושא של תקיפה מינית. סיפור אמיתי על ילדה בת ארבע עשרה בשם מינדה אשר הותקפה מינית על ידי בעל בית מרקחת, אשר יצא זכאי בשל חוסר הוכחות. זהו סיפור של מאבק שמעלה את פער המעמדות בין ילדה שבאה ממעמד פועלים לבין בעל בית מרקחת שבא ממעמד גבוה. התוכנית במוזיאון מועברת באמצעות תיאטרון אשר שחקניו הם קהל הילדים במוזיאון אשר שופט את המקרה.
במהלך הכנס נערך סיור בבית הכנסת ""אוהל משה"" שמשמש היום כמוזיאון לפליטים יהודים בשנחאי. עם פרוץ מלחמת העולם השנייה, הגיעו לסין כ-18,000 פליטים יהודים ממרכז אירופה, שברחו מאימת הנאצים. פליטים אלו הגיעו לשנחאי, שהיה המקום היחיד שלא דרש מהם ויזה. הקהילה הספרדית והקהילה האשכנזית דאגו לפליטים ששוכנו בגטו הונגקיו בשנחאי. עשירי הקהילה הבגדאדית נרתמו לסייע לפליטים ותרמו כספים לשיפוץ בניינים ולבניית מרפאות ובית ספר לילדי הפליטים. מבחינתי מצאתי עניין רב בבית כנסת זה הן בשל הצגת סיפור הצלתם של הפליטים היהודים והן בשל מעורבותה של הקהילה הבגדאדית בסיפור זה. אחת מויטרינות התצוגה במוזיאון הוקדשה לפריטים של יהודי בגדאד בשנחאי, שם התבקשתי על-ידי צוות המוזיאון לדבר על טיבם של הפריטים של הקהילה הבגדאדית שמוצגים שם. חוויית הביקור התעצמה כאשר נכנסנו, עם כיסוי ניילון לנעלינו, לחלל בית הכנסת ששוחזר על ידי הממשלה הסינית בשנת 2007.
 
חשיבותה של הקהילה היהודית הבגדאדית בשנחאי
אל הכנס הגעתי כחודש לאחר פתיחת התערוכה שאצרתי במוזיאון יהדות בבל ""מעולפת ספירים""[*]: ספרי תורה ותשמישי קדושה בקהילות יהודי בבל בבבל ובתפוצות. התערוכה מציגה, בין השאר, היכל ותיבה אותנטיים שקיבלנו ממשפחת ששון, ספרי תורה שנוצרו בבבל ובסין ותצלומי בתי כנסת במזרח הרחוק לרבות בית כנסת ""אוהל רחל"" בשנחאי.
בתערוכה בולטת חשיבותן של משפחות בגדאדיות, במיוחד משפחת ששון שכונתה ""הרוטשילדים של המזרח"", שהיגרו למזרח הרחוק והתיישבו שם ובכלל זה בשנחאי. השתתפותי בכנס שנערך בעיר שנחאי הייתה עבורי סגירת מעגל מרתקת.
היישוב היהודי החדש בסין התחיל באמצע המאה ה-19 על-ידי יהודים יוצאי בגדאד ויהודי בבל בהודו שהיו סוחרים אמידים. הם התיישבו בשנחאי ותרמו תרומה ניכרת להפיכתה של עיר זו מעיירת דייגים לעיר בין-לאומית. תוך זמן קצר תפסו משפחות בגדאדיות בולטות כמו ששון, כדורי, חרדון  ועזרא מקום מרכזי במסחר ובכלכלה של העיר וצברו עושר רב מעסקי נדל""ן ומסחר באופיום. כך לדוגמא, חלקים רבים של הרחוב הראשי בשנחאי - רח' ננג'ין, היו שייכים במקור לחרדון; ""מלון שלום"" – מלון מפואר שבמקור נקרא ""מלון קטאי"", נבנה על-ידי ויקטור ששון. הוא ממוקם ברחוב ננג'ין הנושק לבונד - הטיילת המפורסמת ביותר בעיר על גדות נהר ההוואנג-פו; ארמון הילדים המפורסם בשנחאי היה בעבר ארמון השיש של משפחת כדורי ועוד.
התמזל מזלי והצלחתי לערוך סיור בבית הכנסת ""אוהל רחל"", אשר אינו פתוח לקהל בימים אלה. בית כנסת זה הינו גדול ממדים ומרשים, נבנה בשנת 1920 על-ידי סר יעקב ששון לזכר אשתו רחל, ברובע הבריטי בשנחאי.
אני מודה לפרופסורים מ""המרכז ללימודים יהודים בשנחאי"", איתם ערכתי פגישה מקצועית. שם נפגשתי גם עם פרופ' פאן גואנג שהוציא קטלוג על היהודים בשנחאי והוא אף הרצה בכנס. הם עשו מאמצים רבים אשר צלחו וכך הייתה לי הזכות להתרשם מקרוב ולהיכנס לבית הכנסת, ששימש כמרכזם של הקהילה הבגדאדית בשנחאי כמאה שנים.
ברצוני להודות לאיקום ישראל אשר אפשרו לי לקחת חלק בכנס המעשיר. הייתה זו חוויה מקצועית אשר הרחיבה את הידע המוזיאלי נוסף לחוויה האישית. חשיבותו של הכנס הוא גם במתן האפשרות ליצור קשרים עם עמיתים מוזיאולוגים מכל העולם ובכלל זה עם פרופסורים סינים מ""המרכז ללימודים יהודים בשנחאי"" שחוקרים את יהודי בגדאד בעיר מרתקת זו.
 



[*]  ""מעולפת ספירים, אלו ספרי תורה שהם דומים לעשת שן שמקושטת כספיר"" (ילקוט שמעוני, שיר שירים, רמז תתקצא)",15/09/2011 - 12:16,20/11/2011 - 15:57
"איקו""ם - ידיעון 20, 2011","Please find below the ICOM e-newsletter #20 November 2011: http://archives.icom.museum/e-newsletter/20_nov2011_en.html 
In this issue
Headline ICOM Italy awards its Museums of the Year prize
Decoding 2011: an active year in emergency response
Highlight ICOM LAC, CECA LAC and ICOFOM LAM come together in Quito
Museum News  The Ljubljanica - a River and its past: a joint exhibition between Slovenia and Sweden
ICOM Rio 2013
35 years of International Museum Day 
Participate in A website for today’s world
Access the e-newsletter archives at: http://archives.icom.museum/e-newsletter/e-newsletter.html.
To unsubscribe, please click here.    ICOM. UNESCO House. 1, rue Miollis. 75732 Paris Cedex 15. France. Tel. +33 (0)1 47 34 05 00. Fax +33 (0)1 43 06 78 62. E-mail: secretariat@icom.museum © ICOM",01/12/2011 - 16:38,01/12/2011 - 16:38
"הוועידה הבין-לאומית השלישית למורשת ופיתוח בר-קיימא, פורטוגל 2012","Heritage 2012, 3rd International Conference on Heritage and Sustainable Development follows the path of the previous editions: it aims at establishing a state of the art event regarding the relationships between forms and kinds of heritage and the framework of sustainable development concepts.  Environment, economics, society and culture, the four dimensions of sustainable development, are brought here to define a singular approach on how to deal and go beyond the traditional aspects of heritage preservation and safeguarding. On our today's world, heritage is no longer just a memory or a cultural reference, or even a place or an object. Heritage is moving towards broader and wider scenarios, where it becomes often the driven forces for commerce, business, leisure and politics. HERITAGE 2012 is a peer reviewed conference. Visit the conference website for full details about the conference scope, topics and submission procedures at: http://www.heritage2012.greenlines-institute.org Submit an abstract via the conference website: http://www.heritage2012.greenlines-institute.org or contact the Conference Secretariat below. Secretariat HERITAGE 2012 Green Lines Institute for Sustainable Development Av. Alcaides de Faria, 377 S12 4750-106 Barcelos, PORTUGAL Telephone: + 351 253 815 037 Email: heritage2012@greenlines-institute.org
__._,_.___
Reply to sender | Reply to group | Reply via web post | Start a New Topic
Messages in this topic (1)
Recent Activity:
Visit Your Group
View the main ICME web page at http://icme.icom.museum",14/08/2011 - 10:29,14/08/2011 - 10:29
מידע בעניין כינוס מוזאונים לזכויות אזרח,"In 2010 National Museums Liverpool (NML) coordinated the establishment of a new international museum initiative called the Federation of International Human Rights Museums (FIHRM). The inaugural conference was held at the International Slavery Museum, Liverpool. Almost 100 delegates from more than 20 countries, including Colombia, Lithuania, Malawi, New Zealand, Nigeria and South Africa, attended the event, a number of whom received dedicated bursaries.
 
The conference ran under the patronage of UNESCO, and delegates discussed ways in which museums and institutions tackle and challenge racism, discrimination and human rights abuses. Feedback has been hugely positive and confirmed the timely nature of this initiative. We have uploaded the papers of the conference onto the FIHRM website, and there is also a resources page which includes teaching and education materials, as well as international case studies on human rights and campaign work from museums, NGOs and related organisations.
 
Based on the success of the inaugural conference, we are pleased to announce the second FIHRM conference, which will take place at the International Slavery Museum from the 10-13 October 2011.  NML will continue to lead the initiative, with support from the FIHRM Council, which is made up of leading international institutions, including the National Museum of the American Indian, the National Museum of African American History and Culture, the Canadian Museum for Human Rights, Te Papa in New Zealand and the South African Holocaust Foundation.
 
We would be delighted to see you at the conference in Liverpool in October. For more information, visit www.fihrm.org <http://www.fihrm.org/>  or contact Abby Wringe, FIHRM Coordinator on
+44 151 478 4559 or email fihrm@liverpoolmuseums.org.uk
<mailto:fihrm@liverpoolmuseums.org.uk> 
 
ICOM is a full supporter of the FIHRM initiative.
With best wishes,
Abby
 
Abby Wringe
Coordinator
FIHRM - Federation of International Human Rights Museums http://www.fihrm.org/
 
http://www.liverpoolmuseums.org.uk/",27/07/2011 - 12:13,09/08/2011 - 10:35
"איקו""ם -  ידיעון  17, 2011","For the first time, the ICOM e-newsletter is being sent to all ICOM members. The ICOM e-newsletter provides news and information on the ICOM world community and the heritage sector.
 
Please find below the ICOM e-newsletter #17 June - July 2011:
http://archives.icom.museum/e-newsletter/17_june2011_en.html 
In this issue
Headline Peter Greenaway and the New Visual Literacy
Decoding The ICOM Strategic Plan 2011 – 2013 unanimously adopted
Highlight Sustainable development, ethics and research at the heart of ICOM’s discussions
Museum News  The Guimet Museum hosts ICOM members
Participation ICOM General Secretariat workshops
 
Access the e-newsletter at:
http://archives.icom.museum/e-newsletter/17_june2011_en.html",27/07/2011 - 12:16,20/09/2011 - 09:05
הכינוס השנתי של איקמה - אוקטובר 2011 בגרמניה,"ICOM-ICME Annual Conference - Germany 2011
http://icme.icom.museum/index.php?id=109
 
Dissolving boundaries. Museological approaches to national, social and cultural issues
The conference is organized in three parts:

1      - 2 October 2011 - Pre-Conference Tour at Bamberg
2      - 5 October 2011 - Annual Meeting at Monastery Banz/Bad Staffelstein 
5      - 9 October 2011 - Post Conference Tour to Görlitz and Nuremberg 

All parts are to be booked separately (please see the registration form on the ICME homepage – doc.file or pdf.file)
Directions from airport(s) - The closest airport to Bamberg is Nuremberg
Nuremberg Airport: To Bamberg. from the airport, take the Metro to the Nuremberg railway station, then take the train to Bamberg (70 km). To Bad Staffelstein/ Banz Monastery, see above and take the train to Bad Staffelstein, then taxi to the Banz Monastery.
Frankfurt Airport: To Bamberg. The long distance railway station is located under the main hall of the Frankfurt Airport, take the train to Würzburg, there change to Bamberg (200 km). To Bad Staffelstein/ Banz Monastery (or Lichtenfels), see above and change in Würzburg to Bad Staffelstein, then taxi to the Banz Monastery.",27/07/2011 - 12:40,27/07/2011 - 13:44
תכנית העבודה של משרד התרבות והספורט לשנת 2011,"קישור לתכנית העבודה של משרד התרבות והספורט לשנת 2011
http://www.pmo.gov.il/NR/rdonlyres/7C00F01B-F197-4F09-ABDA-78E1C6E5B644/...",27/07/2011 - 12:55,27/07/2011 - 12:55
